Country,Age Range,Study Years,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Confidence Interval (CI),Male:Female Sex Ratio,Non-Hispanic White:Hispanic Prevalence Ratio,White:Black Prevalence Ratio,Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),Non-Verbal or Minimally Verbal (%),Percentage of Individual Co-occurring Conditions,CDC Calculated Values
United Kingdom,5 to 15,1999,12529.0,27.0,2.61,1.62 - 3.60,4.8,,,,,,,13.8 (epilepsy); 3.4 (fragile x); 0 (down's syndrome); 0 (cerebral palsy) 0 (tuberous sclerosis); 0 (congenital rubella),percent co-occurring conditions (fragile X only)
England,2.5 to 6.5,1998,15500.0,97.0,6.26,5.08 - 7.63,,,,21-78,41.0,,30.0,1 (tuberous sclerosis); 0 (fragile X); 2.1 (CP);,percent co-occuring conditions
USA,3 to 10,1998,8996.0,60.0,6.7,5.1 - 8.7,2.7,,,,,,,1.67 (fragile X); 1.67 (seizure disorder),none
USA,0 to 12,1987-1999,4590333.0,5038.0,1.1,1.07 - 1.13,4.5,1.7,3.9,,,,,,IQ Score <70 (%)
England,5 to 11,1999,34262.0,196.0,5.7,4.96 - 6.58,4.0,,,,,,,,none
USA,3 to 10,1996,289456.0,987.0,3.4,3.2 - 3.6,4.0,,1.0,,45.0,,,8 (epilepsy); 5 (CP),none
USA,6 to 17,1981-2002,,,6.6,,,,,,,,,,none
England,5 to 14,2000,186206.0,567.0,3.05,2.80 - 3.31,4.8,,,,,40 (childhood) 51 (atypical) 97 (Asperger's),,,prevalence estimate; CI
Wales,7 to 11,1998,11692.0,17.0,2.02,,,,,,,,,,none
USA,,,3891494.0,10813.0,2.78,2.72 - 2.83,,,,,,,,,CI
Australia,2 to 17,2002,45153.0,177.0,3.92,3.38 - 4.54,8.3,,,27-195,,,7.0,24.3 (ADD/ADHD); 6.2 (epilepsy); 1.6 (CP); 0 (fragile X); 0.6 (tuberous sclerosis),CI; diagnosis age range (years to months)
England,8 to 9,2000,2536.0,21.0,8.28,5.42 - 12.63,6.0,,,33-113,60.0,53,,23.8 (ADHD); 9.5 (epilepsy),"diagnosis age range, mean age, median age (years to months)"
Denmark,0 to 9,2001,682397.0,2061.0,3.02,2.89 - 3.15,,,,,,,,,prevalence estimate; CI
England,4 to 6,2002,10903.0,64.0,5.87,4.52 - 7.49,6.1,,,,37.8,,,,none
Japan,5,1994-1997,8250.0,34.0,4.12,2.95 - 5.75,,,,,,,,,CI
USA,6,2000,,,2.41,,,,,,,,,,none
Spain,3 to 6,,1104.0,19.0,17.2,11.04 - 26.72,,,,,,,,,prevalence estimate; CI
China,2 to 6,,7345.0,8.0,1.1,0.34 - 2.54,7.0,,,,,,,12.5 (prematurity); 12.5 (cerebral palsy),IQ Score <70 (%)
Canada,5 to 21,1987-1998,27749.0,180.0,6.49,5.58 - 7.50,4.8,,,,,,,,none
USA,0 to 17,2003,102353.0,,5.0,,,,,,,,,,none
England,9 to 10,1990-1991,56946.0,158.0,11.61,9.04 - 14.18,3.3,,,,,,,,none
Sweden,7 to 24,2001,102485.0,546.0,5.33,4.88 - 5.78,3.6,,,,,,,,age range (months to years)
Scotland,0 to 14,2001,134661.0,443.0,4.42,3.95 - 4.89,7.0,,,,,,,,none
Canada,1 to 14,2002,227526.0,662.0,2.91,2.70 - 3.14,3.9,,,,,44.4 (Manitoba) 43.2 (Prince Edward Island),,,sample size; number of cases; prevalence estimate; CI; sex ratio
Denmark,8 to 9,2000,690.0,11.0,11.0,,2.7,,,,,,,,sample size; number of cases
USA,6 to 11,2003,,,3.1,,,,,,,,,,none
USA,8,2000,187761.0,1252.0,6.7,6.31 - 7.04,,,,12-106,,52-56,,,prevalence estimate; CI; IQ Score <70 (%)
USA,8,2002,407578.0,2685.0,6.6,6.3 - 6.8,,,,,,49-66,,,none
Canada,4 to 9,1996-2004,2240537.0,1003.0,4.31,4.05 - 4.58,5.2,,,,,,,,CI
Denmark,8 to 17,2002,7689.0,43.0,5.6,3.8 - 7.3,5.0,,,,,,,,age range; IQ Score <70 (%)
USA,5 to 10,2005,132844.0,593.0,4.5,4.12 - 4.84,5.4,,,,,,,,CI
Wales,0 to 17,1994-2003,39220.0,240.0,6.12,5.39 - 6.94,5.9,,,,66.0,,,,CI
Portugal,6 to 9,2000,,,0.92,0.81 - 1.0,2.9,,,,,,,15.8 (epilepsy),number of cases; prevalence estimate; CI
United Arab Emirates,3,,694.0,2.0,2.9,0.0 - 7.9,,,,,,,,,none
Canada,4 to 9,2004,232945.0,1003.0,4.31,4.04 - 4.58,,,,,,,,,CI
Denmark,9,2006,132607.0,714.0,6.19,5.71 - 6.70,,,,,5.3,,,,none
China,0 to 14,1986-2005,4247206.0,682.0,1.6,1.48 - 1.73,6.6,,,,,,,,CI
Australia,6 to 12,2003-2004,5459.0,,6.25,6.13 - 6.36,4.0,,,,,,,,none
Venezuela,3 to 9,2005-2006,254905.0,430.0,1.7,0.1 - 2.0,3.3,,,,,,,1.1 (fragile X); 0.7 (tuberous sclerosis); 4.9 (epilepsy); 0.7 (Down syndrome),none
England,0 to 11,1991-2003,14026.0,86.0,6.19,4.48 - 7.49,6.8,,,,,81.9,,14.7 (epilepsy); 33.8 (learning disability); 4.3 (CP),none
USA,8,2000 & 2002,47726.0,295.0,6.2,5.6 - 7.0,3.1,,,,,58,,,none
England,5 to 9,2003-2004,12197.0,116.0,15.7,9.9 - 24.6,,,,,,,,,number of cases
USA,8,2006,308038.0,2757.0,9.0,8.6 - 9.3,4.5,,,,,50-66,,,none
USA,4,2006,8156.0,65.0,8.0,6.1 - 9.9,4.7,,1.5,,,34,,,IQ Score <70 (%)
Australia,2 to 8,2004,419917.0,982.0,2.34,2.19 - 2.48,,,,,,,,,none
Caribbean,0 to 13,1997-2003,13109.0,69.0,5.3,4.1 - 6.7,,,,,,,,,age range
Sri Lanka,1.5 to 2,2007,374.0,4.0,10.7,4.17 - 27.17,,,,,,,,,CI
USA,3 to 17,2007,77911.0,913.0,11.0,9.4 - 12.8,4.2,1.2,2.0,,,,,32.75 (ADD/ADHD); 30.56 (anxiety); 12.16 (depression),percent co-occurring conditions
Canada,6 to 17,2008,23635.0,187.0,7.91,6.78 - 9.04,5.4,,,,,,,,none
Norway,7 to 9,,6609.0,14.0,8.7,,7.0,,,,,,,,CI
USA,,2002-2008,428030.0,3831.0,9.0,8.67 - 9.24,,,,,,,,,CI
Sweden,6,2005-2008,23566.0,147.0,6.2,5.2 - 7.2,5.1,,,,,,,25 (ADHD); 7 (epilepsy); 0.7 (tuberous sclerosis); 0.7 (down syndrome); 24 (learning disability),IQ Score <70 (%)
Oman,0 to 14,2009,798913.0,113.0,0.14,0.12 - 0.17,3.0,,,,,,,,none
USA,3 to 17,1997-2008,,537.0,4.7,,3.9,1.63,1.28,,,,,,sex ratio; non-hispanic white:hispanic and white:black autism prevalence ratio
USA,6,2006,4906926.0,,4.9,,,,,,,45.6,,,age range; mean diagnosis age (years to months)
Denmark,5 to 10,2004,404816.0,2002.0,6.85,6.50 - 7.21,5.0,,,,,,,,sex ratio
Australia,5 to 10,2004,152060.0,678.0,5.1,4.70 - 5.53,4.8,,,,,,,,sex ratio
Taiwan,0 to 17,2005,229454.0,659.0,2.9,2.66 - 3.10,,,,,,,,,sample size; CI
USA,0 to 8,1994 & 1996,80249.0,374.0,4.7,4.2 - 5.2,6.2,2.2,1.8,,,,,,none
South Korea,7 to 12,2005-2009,55266.0,201.0,26.4,19.1 - 33.7,3.4,,,,,,,,sex ratio; IQ Score <70 (%)
Brazil,7 to 12,,1470.0,4.0,2.72,1.76 - 3.68,,,,,,,,,none
England,≥ 16,2007,7333.0,72.0,9.8,3.0 - 16.5,,,,,,,,,none
Finland,8,,4422.0,37.0,8.4,6.1 - 11.5,1.8,,,,,,,,none
USA,8,2002-2008,33757.0,432.0,13.0,11.8 - 14.2,4.0,,,,,,,,none
USA,8,2002,36472.0,252.0,6.9,6.1 - 7.8,3.7,2.6,1.3,,,,,,none
Denmark,15 to 24,2009,7128.0,67.0,9.4,7.3 - 11.9,2.7,,,,,,,,none
USA,8,2008,337093.0,3820.0,11.3,11.0 - 11.7,,1.5,1.2,,,53,,,none
Norway,0 to 11,2010,731318.0,2352.0,3.22,3.09 - 3.35,4.3,,,,,,,17.3 (ADHD); 11.2 (epilepsy),sex ratio; prevalence estimate; CI
Iran,5,2006-2009,1320000.0,826.0,0.63,0.58 - 0.67,4.0,,,,,,,,CI
Norway,6 to 12,,31015.0,158.0,5.1,4.3 - 5.9,4.27,,,,,,,,none
Sweden,0 to 17,2007,444154.0,5100.0,11.5,11.2 - 11.8,2.6,,,12-228,,96,,,diagnosis median age and age range (years to months)
Taiwan,6 to 11,2010,1538830.0,3893.0,2.53,2.45 - 2.61,6.6,,,,,,,,CI
Sweden,2,2010,6220.0,40.0,6.4,4.6 - 8.7,4.0,,,,,,,,none
USA,8,2006,41647.0,504.0,15.0,13.4 - 16.8,,1.9,,,,,,,none
USA,7 to 17,2007,56728.0,,18.9,,,,,,,,,,none
Bahrain,2 to 27,2005,,,0.43,,4.0,,,,,,38.0,,none
Israel,1 to 12,2010,423524.0,2034.0,4.8,4.59 - 5.01,5.2,,,,63.5,,,,none
Taiwan,3 to 17,2011,3917643.0,8671.0,2.21,2.17 - 2.26,,,,,,,,,CI
Iceland,11 to 15,2005-2009,22229.0,267.0,12.0,10.7 - 13.5,2.8,,,,,,,7.1 (epilepsy),IQ Score <70 (%)
Norway,0 to 12,2008-2011,797356.0,3101.0,6.0,,4.5,,,,,,,,case number
United Kingdom,8,2004-2010,256278.0,616.0,2.4,2.22 - 2.60,5.1,,,,,,,,number of cases; sample size; prevalence estimate; CI
USA,6 to 17,2011-2012,65556.0,1393.0,20.0,,,,,,,,,,none
USA,8,2010,363749.0,5338.0,14.7,14.3 - 15.1,4.5,1.5,1.3,,,,,,none
China,1.5 to 3,2009-2011,8000.0,22.0,2.75,1.6 - 3.9,4.5,,,,,,72.7,,sex ratio; study years
South Korea,7 to 12,2005-2006,,,22.0,17.7 - 26.4,,,,,,,,,study years
Canada,2 to 14,2003-2010,156569.0,1636.0,10.45,9.96 - 10.96,,,,13-143 (newfoundland & Labrador); 19-164 (Prince Edward Island); 18-172 (Southeastern Ontario),,41 (Newfoundland & Labrador); 55 (Prince Edward Island); 56 (SE Ontario),,,sample size; number of cases; prevalence estimate; CI
Uganda,2 to 9,2010-2011,1169.0,8.0,12.0,,,,,,,,,,none
United Kindgom,7,2008-2009,14043.0,209.0,17.0,14.0 - 20.0,5.0,,,,,,,19.9 (ADHD),none
USA,8,2006,30570.0,533.0,17.4,15.9 - 18.9,5.0,2.66,2.66,9-102,,48,,,none
United Kindgon,5 to 9,2003-2004,3404.0,46.0,14.0,10.1 - 18.0,3.2,,,,,,,,CI
USA,3 to 17,2014,13000.0,,22.4,,,,,,,,,,none
Denmark,0 to 21,2011,1191012.0,13567.0,11.4,11.20 - 11.58,,,,,,,,,prevalence estimate; CI; age range
Finland,0 to 21,2011,1079796.0,8088.0,7.5,7.32 - 7.65,,,,,,,,,prevalence estimate; CI; age range
Sweden,0 to 19,2011,1797704.0,11887.0,6.6,6.49 - 6.73,,,,,,,,,prevalence estimate; CI; age range
Australia,0 to 20,2011,465724.0,2321.0,5.0,4.79 - 5.19,,,,,,,,,prevalence estimate; CI; age range
France,8,2003-2012,,500.0,3.6,3.3 - 3.9,4.2,,,,,,,,none
Sweden,0 to 27,2011,735096.0,11330.0,15.4,15.1 - 15. 7,2.4,,,,,,,,sex ratio; IQ score
Sweden,,,1078975.0,4620.0,4.2,4.16 - 4.41,,,,,,,,,CI
Canada,4,2013,2668.0,58.0,21.6,16.85 - 28.0,,,,,,,,,CI
China,6 to 11,,737.0,6.0,11.9,5.3 - 26.5,,,,,,,,,none
France,7,1997-2003,307751.0,1123.0,3.65,3.44 - 3.87,4.1,,,,,,,4.7 (epilepsy); 0.8 (fragile X); <0.5 (tuberous sclerosis),none
USA,8,2010,,752.0,15.5,,4.6,1.7,1.3,,,,,,none
Ecuador,5 to 15,,51453.0,57.0,1.1,0.86 - 1.43,4.7,,,,,,,,CI
USA,,,113364.0,493.0,4.3,4.0 - 4.8,,,,,,,,,none
Iran,2 to 5,,2941.0,28.0,9.52,6.6 - 13.7,,,,,,,,,none
Nigeria,0 to 3,,3011.0,4.0,1.33,0.52 - 3.41,,,,,,,,,CI
Ireland,6 to 11,,5589.0,63.0,10.0,8.8 - 14.4,,,,,,,,,CI
Australia,0 to 27,2010,,2307.0,4.1,,4.1,,,,,,,,age range
Lebanon,1.3 to 4,,998.0,263.0,15.3,7.7 - 22.9,1.2,,,,,,,,none
USA,4,2010,58467.0,783.0,13.4,12.5 - 14.4,3.5,0.9,1.2,,,32,,,none
Nigeria,3 to 18,2014,721.0,21.0,29.0,19.12 - 44.12,1.1,,,,,,,,CI
Mexico,8,2011-2012,12200.0,36.0,8.7,6.2 - 11.0,4.1,,,,,,36.0,19.4  (epilepsy); 2.8 (Down syndrome); 2.8 (Rett syndrome); 2.8 (fragile X) ; 44.4 (emotional problems),IQ Score <70 (%)
Australia,6 to 7,2010-2011,4239.0,107.0,25.0,20.0 - 30.0,,,,,,,,,none
India,1 to 30,2011-2012,18480.0,43.0,2.33,1.73 - 3.13,2.1,,,,,,,,CI
USA,8,2012,346038.0,5063.0,14.6,14.2 - 15.0,4.5,1.5,1.2,,,50,,,none
USA,8,2006-2010,929182.0,11058.0,11.9,11.7 - 12.1,4.7,1.65,1.19,,,,,,sex ratio; IQ score; non-Hispanic White:Hispanic and White:Black ratio
Australia,10 to 11,2014,3764.0,145.0,39.0,32.0 - 45.0,,,,,67.4,,,,none
India,1 to 10,,28070.0,43.0,1.5,1.5 - 2.5,,,,,,,,,none
India,3 to 8,2010-2013,11849.0,6.0,2.3,0.7 - 4.6,,,,,,,,,none
Poland,0 to 16,2010-2014,707975.0,2464.0,3.5,3.35 - 3.62,4.3,,,,,,,,CI
USA,4,2010,58467.0,465.0,8.0,7.2 - 8;7,3.9,2.2,3.1,,,32,,,number of cases
USA,2 to 17,2011-2012,85248.0,1604.0,18.0,17.93 - 19.75,4.3,7.76,9.23,,,,,8.6 (epilepsy),CI
Sweden,0 to 17,2011,480728.0,10025.0,21.0,20.45 - 21.26,2.4,,,,,,,,CI
USA,3 to 17,2014-2016,,,24.7,22.3 - 27.2,,1.52,1.11,,,,,,none
USA,3 to 17,2016,43021.0,1131.0,25.0,22.3 - 28.1,4.2,1.1,0.9,,,,,,White:Hispanic and White:black prevalence ratio
India,6 to 9,2011-2012,3964.0,44.0,14.0,6.0 - 32.0,,,,,,,,,none
USA,8,2014,325483.0,5473.0,16.8,16.4 - 17.3,4.0,1.2,1.1,,,52,,,none
USA,3 to 17,2014-2016,30502.0,711.0,24.7,22.0 - 27.3,3.3,1.5,1.1,,,,,,none
Nepal,9 to 13,2014-2015,4098.0,14.0,3.0,2.00 - 5.00,1.3,,,,,,,,prevalence estimate; CI
Scotland,0 to 25,2011,3746584.0,6649.0,1.77,1.73 - 1.82,2.3,,,,,,,31.8 (mental health conditions),prevalence estimate; CI
Germany,0 to 24,2012,6400000.0,21186.0,3.8,,,,,,,,,,CI
Canada,1 to 17,2014-2015,1464600.0,16940.0,12.2,,,,,,,,,8.4 (epilepsy); 42 (ADHD); 34.2 (anxio-depressive disorders),none
USA,5,2017,,,11.8,,,,,,,,,,none
Italy,7 to 9,,10138.0,81.0,7.9,6.2 - 9.7,5.2,,,,,,52.0,,none
China,3 to 12,2014,74252.0,203.0,0.758,0.687 - 0.829,3.6,,,,,,,,none
Bangladesh,1.5 to 3,2016,5286.0,4.0,0.75,0.29 - 1.94,3.0,,,,,,,,CI
Spain,3 to 5,,1358.0,21.0,15.5,8.9 - 22.0,4.3,,,,,,,25 (language delay),none
China,6 to 10,2013,7349.0,77.0,10.8,8.7 - 13.5,,,,,,,,,sample size; number of cases
USA,3 to 17,2016,43031.0,1229.0,27.9,24.6 - 31.2,4.3,1.1,0.8,,,,,,none
USA,8,2012 & 2014,152259.0,1913.0,12.6,12.1 - 13.2,,1.51,1.53,,,,,,none
USA,3 to 17,2009-2017,88530.0,1550.0,17.4,16.67 - 18.39,2.3,1.1,1.3,,,,,,sex ratio; White:Hispanic and White:Black prevalence ratio
USA,4,2014,70887.0,1208.0,17.0,16.1 - 18.0,4.1,,,,,,,,none
Oman,0 to 14,2011-2015,837655.0,1705.0,2.04,1.94 - 2.13,3.6,,,,,,,,none
Qatar,6 to 11,2015-2018,142855.0,844.0,11.4,8.9 - 14.6,4.3,,,,42.8,,19.0,5.1 (prematurity); 30.2 (ADHD); 11 (anxiety); 82.1 (learning disability); 91.4 (language delay),sample size
Taiwan,7 to 14,2015-2017,4816.0,52.0,10.0,6.0 - 15.0,,,,,,,,,none
Vietnam,1.5 to 2.5,2017,17277.0,130.0,7.52,6.29 - 8.93,4.7,,,,,,,,age range (months to years)
Iran,6 to 18,,29737.0,37.0,1.8,1.20 - 2.40,2.0,,,,,,,2.7 (depressive disorders); 27 (anxiety disorders); 21.6 (ADHD); 29.7 (epilepsy),none
Spain,2 to 17,2017,1326666.0,15466.0,12.3,12.1 - 12.5,4.5,,,,105.6,96,,,none
USA,18 to 64,2008,8127049.0,29745.0,3.66,3.62 - 3.70,2.8,3.4,1.6,,,,,,sample size; CI; White:Hispanic and White:Black prevalence ratio
Canada,1 to 5,2015,59438.0,578.0,9.7,8.97 - 10.55,,,,,39.6,,,,CI
USA,8,2016,275419.0,5108.0,18.5,18.0 - 19.1,4.3,1.2,1.0,,,51,,,none
USA,4,2016,72277.0,1125.0,15.6,14.7 - 16.5,3.5,0.7,0.9,,,33,,,none
South Korea,,2015,51529338.0,5663.0,0.11,0.107 - 0.112,5.1,,,,,,,,CI
Japan,5,2013-2016,5016.0,87.0,32.2,26.6 - 3.76,2.2,,,,,,,50.57 (ADHD),none
USA,3 to 17,2015-2018,33775.0,856.0,25.0,22.0 - 27.0,,,,,,,,,none
"Basque Country, Spain",7 to 9,,14734.0,87.0,5.9,4.8 - 7.3,6.2,,,,,,,,none
Australia,12 to 13,,3300.0,145.0,43.6,35.6 - 51.9,,,,,73.44,,,,none
Japan,6 to 9,2015,2085.0,40.0,19.0,13.0 - 25.0,,,,,,,,,number of cases
Greece,10 to 11,2019,182879.0,2108.0,11.5,11.4 - 11.7,4.14,,,,6.0,,,,none
China,6 to 12,2014-2016,125806.0,363.0,7.0,6.4 - 7.4,4.3,,,,,,,43.1 (ADHD); 6.4 (OCD); 5.7 (epilepsy),none
USA,6,2019,,,15.0,,,1.2,0.8,,,,,,White:Hispanic and White:Black prevalence ratio
USA,6 to 21,"2015, 2016, 2017",50693053.0,625215.0,12.3,12.30-  12.36,,,,,,,,,CI
Spain,5 to 17,2011-2017,7180.0,48.0,7.0,5.05 - 8.85,7.0,,,,,,,,CI; study years
Canada,1 to 24,2016,80237.0,1062.0,13.2,12.47 - 14.05,4.0,,,,,,,21.5 (mood and affective disorder),CI
USA,3 to 17,2014-2019,52550.0,1330.0,24.9,22.9 - 26.8,3.5,1.4,0.99,,,,,,none
Spain,4 to 5; 10 to 11,2014-2019,3727.0,57.0,15.3,11.4 - 19.2,4.7,,,,,,,18.8 (ADHD for ages 4-5); 44 (ADHD for ages 10-11),none
Saudi Arabia,2 to 4,2017-2018,398.0,10.0,25.0,13.70 - 45.62,2.2,,,,,,,,"CI, Male:Female prevalence ratio (in-text ratio is 3:1)"
USA,3 to 17,2019-2020,12554.0,410.0,31.4,27.30 - 35.40,3.0,1.1,0.9,,,,,,CI; Male:Female prevalence ratio; White:Hispanic prevalence ratio; White:Black prevalence ratio
USA,8,2018,220281.0,5058.0,23.0,22.30 - 23.60,4.2,0.9,0.9,36.0 - 63.0,,50,,,none
England,5 to 19,2017,7047238.0,119821.0,17.6,16.90 - 17.10,4.3,,1.3,,,,,,CI; White:Black prevalence ratio
USA,8,2016,26083.0,942.0,36.0,34.00 - 38.00,4.3,1.7,1.4,,,,,,White:Hispanic prevalence ratio; White:Black prevalence ratio
Spain,6 to 12,2020-2021,,4678.0,8.65,8.40 - 8.90,5.4,,,,53.3,42,,,number of cases; sex ratio; mean diagnosis age (years to months); median diagnosis age (years to months)
Korea,0 to 8,2010-2020,4989351.0,35529.0,7.12,7.00 - 7.20,2.7,,,,,,,,CI; Male:Female prevalence ratio
